[2026-03-19 16:23:09] [INFO    ] discord.client: logging in using static token
[2026-03-19 16:23:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'KTranslate', 'primary_guild': None, 'mfa_enabled': False, 'id': '1484072648525877402', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '0870', 'clan': None, 'bot': True, 'avatar': '74982dd1ccd89a37f3e0263f470fa237'}, 'session_type': 'normal', 'session_id': 'fb626191667d45a6e0c6e0637adf545a', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '531365165925531649'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['singapore', 'hongkong', 'jakarta', 'india', 'japan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1484072648525877402', 'flags_new': '565248', 'flags': 565248}, '_trace': ['["gateway-prd-arm-us-east1-c-g9pr",{"micros":204910,"calls":["id_created",{"micros":1629,"calls":[]},"session_lookup_time",{"micros":14609,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"sessions-prd-gcp-us-east1-c-174",{"micros":188419,"calls":["start_session",{"micros":103503,"calls":["discord-api-rpc-5d87b48497-5ptdm",{"micros":40038,"calls":["get_user",{"micros":7837},"get_guilds",{"micros":3251},"send_scheduled_deletion_message",{"micros":15},"guild_join_requests",{"micros":4},"authorized_ip_coro",{"micros":9},"pending_payments",{"micros":1429},"apex_experiments",{"micros":54700},"sessions_experiments",{"micros":7},"played_application_ids",{"micros":5},"linked_users",{"micros":3},"ad_personalization_toggles_disabled",{"micros":3},"regional_feature_config",{"micros":3}]}]},"starting_guild_connect",{"micros":64,"calls":[]},"presence_started",{"micros":334,"calls":[]},"guilds_started",{"micros":53,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":84419,"calls":[]},"connect_finished",{"micros":84439,"calls":[]},"build_ready",{"micros":20,"calls":[]},"clean_ready",{"micros":3,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-03-19 16:23:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-19 16:23:11] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: fb626191667d45a6e0c6e0637adf545a).
[2026-03-19 16:23:11] [DEBUG   ] discord.client: Dispatching event connect
[2026-03-19 16:23:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'verification_level': 0, 'preferred_locale': 'en-US', 'embedded_activities': [], 'public_updates_channel_id': None, 'soundboard_sounds': [], 'max_video_channel_users': 25, 'nsfw_level': 0, 'stickers': [], 'profile': None, 'lazy': True, 'premium_tier': 0, 'moderator_reporting': None, 'splash': None, 'safety_alerts_channel_id': None, 'stage_instances': [], 'member_count': 8, 'explicit_content_filter': 0, 'id': '531365165925531649', 'system_channel_flags': 0, 'name': 'Cao Gia', 'banner': None, 'emojis': [], 'afk_timeout': 300, 'premium_subscription_count': 0, 'region': 'deprecated', 'roles': [{'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465839169', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '531365165925531649', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '6546775649', 'name': 'Admin', 'mentionable': False, 'managed': False, 'id': '531365461233762315', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {'bot_id': '235088799074484224'}, 'position': 1, 'permissions': '6442713672', 'name': 'Rythm', 'mentionable': False, 'managed': True, 'id': '531372659716653068', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {'bot_id': '234395307759108106'}, 'position': 1, 'permissions': '8', 'name': 'Groovy', 'mentionable': False, 'managed': True, 'id': '868051172769034301', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1773901490727, 'unicode_emoji': None, 'tags': {'bot_id': '1484072648525877402'}, 'position': 1, 'permissions': '563242280021056', 'name': 'Khas-Translator', 'mentionable': False, 'managed': True, 'id': '1484075158913290295', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'nsfw': False, 'threads': [], 'guild_scheduled_events': [], 'channels': [{'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '531365165925531650', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '531365165925531650', 'name': 'general', 'last_message_id': '1484087247572570154', 'id': '531365165925531651', 'flags': 0}, {'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '531365165925531652', 'flags': 0}, {'version': 0, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '531365165925531652', 'name': 'General', 'last_message_id': None, 'id': '531365165925531653', 'flags': 0, 'bitrate': 64000}], 'discovery_splash': None, 'system_channel_id': '531365165925531651', 'inventory_settings': None, 'vanity_url_code': None, 'hub_type': None, 'description': None, 'joined_at': '2026-03-19T06:24:50.738645+00:00', 'afk_channel_id': None, 'premium_progress_bar_enabled_user_updated_at': None, 'voice_states': [], 'application_id': None, 'activity_instances': [], 'game_application_ids': None, 'large': False, 'members': [{'user': {'username': 'KTranslate', 'public_flags': 0, 'primary_guild': None, 'id': '1484072648525877402', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0870', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '74982dd1ccd89a37f3e0263f470fa237'}, 'roles': ['1484075158913290295'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-19T06:24:50.738645+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'default_message_notifications': 0, 'premium_progress_bar_enabled': False, 'home_header': None, 'presences': [], 'max_members': 25000000, 'application_command_counts': {}, 'icon': None, 'latest_onboarding_question_id': None, 'unavailable': False, 'rules_channel_id': None, 'premium_features': None, 'owner_configured_content_level': 0, 'mfa_level': 0, 'incidents_data': None, 'owner_id': '222910050660777984', 'version': 1678832565810, 'features': [], 'max_stage_video_channel_users': 50}}
[2026-03-19 16:23:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-19 16:23:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '377d1cf94bbac0e6d5b0022dc9bee643', 'members': [{'user': {'username': 'khassian', 'public_flags': 0, 'primary_guild': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'id': '222910050660777984', 'global_name': 'Khassian', 'display_name_styles': {'font_id': 3, 'effect_id': 3, 'colors': [14287177]}, 'display_name': 'Khassian', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'fac672b33ef6488f620234c9f52b5e7a'}, 'roles': ['531365461233762315'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2019-01-06T06:55:27.915000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Groovy', 'public_flags': 589824, 'primary_guild': None, 'id': '234395307759108106', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7254', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '0e7adc5d634d957b7725021c067bfd87'}, 'roles': ['868051172769034301'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2021-07-23T08:45:27.235000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Rythm', 'public_flags': 65536, 'primary_guild': None, 'id': '235088799074484224', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3722', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'a_bf76f4b59ab50da1065df1144d5cf46b'}, 'roles': ['531372659716653068'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2019-01-06T07:25:14.586000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'sachi009', 'public_flags': 0, 'primary_guild': {'tag': 'WWM', 'identity_guild_id': '1180042348755963924', 'identity_enabled': True, 'badge': 'e51a60e0d45a26bcf4e00d2ef1bcbcb1'}, 'id': '541544058930200606', 'global_name': 'Sachi', 'display_name_styles': None, 'display_name': 'Sachi', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '75c22981094fe5d3bbed5fa97d3bc47a'}, 'roles': ['531365461233762315'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2019-02-03T09:04:12.973000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'sachi06060', 'public_flags': 0, 'primary_guild': None, 'id': '544166475515035658', 'global_name': 'Sachi', 'display_name_styles': None, 'display_name': 'Sachi', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['531365461233762315'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2019-02-10T14:43:54.478000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'sachi08222', 'public_flags': 0, 'primary_guild': None, 'id': '718501994116939807', 'global_name': 'Sachi', 'display_name_styles': None, 'display_name': 'Sachi', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2020-06-05T16:30:33.324000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'sachi0093917', 'public_flags': 0, 'primary_guild': None, 'id': '763394911046598686', 'global_name': 'Sachi009', 'display_name_styles': None, 'display_name': 'Sachi009', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2021-07-23T09:03:51.231000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'KTranslate', 'public_flags': 0, 'primary_guild': None, 'id': '1484072648525877402', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0870', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '74982dd1ccd89a37f3e0263f470fa237'}, 'roles': ['1484075158913290295'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-19T06:24:50.738645+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '531365165925531649', 'chunk_index': 0, 'chunk_count': 1}}
[2026-03-19 16:23:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-19 16:23:11] [DEBUG   ] discord.state: Processed a chunk for 8 members in guild ID 531365165925531649.
[2026-03-19 16:23:13] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-03-19 16:23:13] [DEBUG   ] discord.client: Dispatching event ready
[2026-03-19 16:23:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '222910050660777984', 'timestamp': 1773912216, 'member': {'user': {'username': 'khassian', 'public_flags': 0, 'primary_guild': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'id': '222910050660777984', 'global_name': 'Khassian', 'display_name_styles': {'font_id': 3, 'effect_id': 3, 'colors': [14287177]}, 'display_name': 'Khassian', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'fac672b33ef6488f620234c9f52b5e7a'}, 'roles': ['531365461233762315'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2019-01-06T06:55:27.915000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '531365165925531651', 'guild_id': '531365165925531649'}}
[2026-03-19 16:23:36] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-19 16:23:36] [DEBUG   ] discord.client: Dispatching event typing
[2026-03-19 16:23:36] [DEBUG   ] discord.client: Dispatching event raw_typing
[2026-03-19 16:23:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-03-19T09:23:37.142000+00:00', 'pinned': False, 'nonce': '1484120146812338176', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['531365461233762315'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2019-01-06T06:55:27.915000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1484120149006094407', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Mietwohnung, in Berlin, ab 3 Zimmer, ab 50 m² Wohnfläche, bis 1.000 € Warmmiete', 'components': [], 'channel_type': 0, 'channel_id': '531365165925531651', 'author': {'username': 'khassian', 'public_flags': 0, 'primary_guild': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'id': '222910050660777984', 'global_name': 'Khassian', 'display_name_styles': {'font_id': 3, 'effect_id': 3, 'colors': [14287177]}, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'avatar_decoration_data': None, 'avatar': 'fac672b33ef6488f620234c9f52b5e7a'}, 'attachments': [], 'guild_id': '531365165925531649'}}
[2026-03-19 16:23:37] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-19 16:23:37] [DEBUG   ] discord.client: Dispatching event message
[2026-03-19 16:23:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 6, 'op': 0, 'd': {'user_id': '222910050660777984', 'type': 0, 'message_id': '1484120149006094407', 'message_author_id': '222910050660777984', 'member': {'user': {'username': 'khassian', 'public_flags': 0, 'primary_guild': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'id': '222910050660777984', 'global_name': 'Khassian', 'display_name_styles': {'font_id': 3, 'effect_id': 3, 'colors': [14287177]}, 'display_name': 'Khassian', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'fac672b33ef6488f620234c9f52b5e7a'}, 'roles': ['531365461233762315'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2019-01-06T06:55:27.915000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '🇻🇳', 'id': None}, 'channel_id': '531365165925531651', 'burst': False, 'guild_id': '531365165925531649'}}
[2026-03-19 16:23:40] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-19 16:23:40] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2026-03-19 16:23:40] [DEBUG   ] discord.client: Dispatching event reaction_add
[2026-03-19 16:23:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 19, 'tts': False, 'timestamp': '2026-03-19T09:23:42.709000+00:00', 'referenced_message': {'type': 0, 'tts': False, 'timestamp': '2026-03-19T09:23:37.142000+00:00', 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'id': '1484120149006094407', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Mietwohnung, in Berlin, ab 3 Zimmer, ab 50 m² Wohnfläche, bis 1.000 € Warmmiete', 'components': [], 'channel_id': '531365165925531651', 'author': {'username': 'khassian', 'public_flags': 0, 'primary_guild': None, 'id': '222910050660777984', 'global_name': 'Khassian', 'display_name_styles': {'font_id': 3, 'effect_id': 3, 'colors': [14287177]}, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'fac672b33ef6488f620234c9f52b5e7a'}, 'attachments': []}, 'pinned': False, 'nonce': '9330834684336366538', 'message_reference': {'type': 0, 'message_id': '1484120149006094407', 'guild_id': '531365165925531649', 'channel_id': '531365165925531651'}, 'mentions': [{'username': 'khassian', 'public_flags': 0, 'primary_guild': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'member': {'roles': ['531365461233762315'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2019-01-06T06:55:27.915000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '222910050660777984', 'global_name': 'Khassian', 'display_name_styles': {'font_id': 3, 'effect_id': 3, 'colors': [14287177]}, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'avatar_decoration_data': None, 'avatar': 'fac672b33ef6488f620234c9f52b5e7a'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1484075158913290295'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-19T06:24:50.738645+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1484120172355649587', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Translated to Vietnamese: Căn hộ cho thuê ở Berlin, từ 3 phòng, không gian sống từ 50 m2, giá thuê lên tới €1.000', 'components': [], 'channel_type': 0, 'channel_id': '531365165925531651', 'author': {'username': 'KTranslate', 'public_flags': 0, 'primary_guild': None, 'id': '1484072648525877402', 'global_name': None, 'display_name_styles': None, 'discriminator': '0870', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '74982dd1ccd89a37f3e0263f470fa237'}, 'attachments': [], 'guild_id': '531365165925531649'}}
[2026-03-19 16:23:42] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-19 16:23:42] [DEBUG   ] discord.client: Dispatching event message
[2026-03-19 16:23:42] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/531365165925531651/messages with {"content":"Translated to Vietnamese: C\u0103n h\u1ed9 cho thu\u00ea \u1edf Berlin, t\u1eeb 3 ph\u00f2ng, kh\u00f4ng gian s\u1ed1ng t\u1eeb 50 m2, gi\u00e1 thu\u00ea l\u00ean t\u1edbi \u20ac1.000","components":[],"nonce":"9330834684336366538","enforce_nonce":true,"message_reference":{"message_id":1484120149006094407,"channel_id":531365165925531651,"guild_id":531365165925531649},"tts":false} has returned 200
[2026-03-19 16:23:42] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (62df3a8bf3cb0dd93018dd80d06039f6).
[2026-03-19 16:23:42] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/531365165925531651/messages has received {'type': 19, 'content': 'Translated to Vietnamese: Căn hộ cho thuê ở Berlin, từ 3 phòng, không gian sống từ 50 m2, giá thuê lên tới €1.000', 'mentions': [{'id': '222910050660777984', 'username': 'khassian', 'avatar': 'fac672b33ef6488f620234c9f52b5e7a', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': 'a_e30b4c1f931d16b8bf4163000aa6ed31', 'accent_color': None, 'global_name': 'Khassian', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': {'font_id': 3, 'effect_id': 3, 'colors': [14287177]}, 'banner_color': None, 'clan': {'identity_guild_id': None, 'identity_enabled': False, 'tag': None, 'badge': None}, 'primary_guild': {'identity_guild_id': None, 'identity_enabled': False, 'tag': None, 'badge': None}}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2026-03-19T09:23:42.709000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1484120172355649587', 'channel_id': '531365165925531651', 'author': {'id': '1484072648525877402', 'username': 'KTranslate', 'avatar': '74982dd1ccd89a37f3e0263f470fa237', 'discriminator': '0870', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '109f463a06f5df386428847abaf709ce', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '9330834684336366538', 'message_reference': {'type': 0, 'channel_id': '531365165925531651', 'message_id': '1484120149006094407', 'guild_id': '531365165925531649'}, 'referenced_message': {'type': 0, 'content': 'Mietwohnung, in Berlin, ab 3 Zimmer, ab 50 m² Wohnfläche, bis 1.000 € Warmmiete', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2026-03-19T09:23:37.142000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1484120149006094407', 'channel_id': '531365165925531651', 'author': {'id': '222910050660777984', 'username': 'khassian', 'avatar': 'fac672b33ef6488f620234c9f52b5e7a', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Khassian', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': {'font_id': 3, 'effect_id': 3, 'colors': [14287177]}, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False}}
[2026-03-19 16:23:52] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2026-03-19 16:23:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-03-19 16:24:33] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2026-03-19 16:24:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-03-19 16:25:14] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2026-03-19 16:25:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-03-19 16:25:55] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2026-03-19 16:25:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
